id,success_loan,failed_loans,income,nomalized_success_loan,nomalized_failed_loans,nomalized_income,cluster,priority,score,final_priority
277.0,3.0,2.0,300000.0,0.1,0.2222222222222222,0.0436241610738255,0,Low Priority,0.10623767648082114,Low Priority
279.0,1.0,0.0,200000.0,0.0,0.0,0.0268456375838926,0,Low Priority,-0.11038995761663645,Low Priority
280.0,5.0,1.0,200000.0,0.2,0.1111111111111111,0.0268456375838926,0,Low Priority,0.20177762428945809,Low Priority
281.0,2.0,0.0,200000.0,0.05,0.0,0.0268456375838926,0,Low Priority,-0.035829523847462214,Low Priority
283.0,11.0,1.0,900000.0,0.5,0.1111111111111111,0.1442953020134228,1,Medium Priority,0.9267257372067006,Low Priority
285.0,6.0,8.0,700000.0,0.25,0.8888888888888888,0.110738255033557,1,Medium Priority,0.5720943503659849,Low Priority
289.0,10.0,0.0,400000.0,0.45,0.0,0.0604026845637583,1,Medium Priority,0.6399640921065592,Low Priority
291.0,5.0,0.0,300000.0,0.2,0.0,0.0436241610738255,0,Low Priority,0.2275068503603744,Low Priority
293.0,7.0,0.0,250000.0,0.3,0.0,0.035234899328859,1,Medium Priority,0.35680018144856573,Low Priority
294.0,5.0,1.0,450000.0,0.2,0.1111111111111111,0.0687919463087248,0,Low Priority,0.3009153065402428,Low Priority
295.0,6.0,1.0,400000.0,0.25,0.1111111111111111,0.0604026845637583,1,Medium Priority,0.3556482038592599,Low Priority
296.0,9.0,6.0,350000.0,0.4,0.6666666666666666,0.0520134228187919,1,Medium Priority,0.6291312028636138,Low Priority
304.0,1.0,0.0,600000.0,0.0,0.0,0.0939597315436241,0,Low Priority,0.04823033398461901,Low Priority
307.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
309.0,8.0,2.0,500000.0,0.35,0.2222222222222222,0.0771812080536912,1,Medium Priority,0.5583499911273198,Low Priority
311.0,8.0,0.0,300000.0,0.35,0.0,0.0436241610738255,1,Medium Priority,0.45118815166789705,Low Priority
312.0,3.0,1.0,400000.0,0.1,0.1111111111111111,0.0604026845637583,0,Low Priority,0.13196690255173724,Low Priority
313.0,17.0,1.0,1850000.0,0.8,0.1111111111111111,0.3036912751677852,1,Medium Priority,1.7508115323747282,Medium Priority
315.0,9.0,2.0,370000.0,0.4,0.2222222222222222,0.0553691275167785,1,Medium Priority,0.5813588301260861,Low Priority
316.0,4.0,0.0,410000.0,0.15,0.0,0.0620805369127516,0,Low Priority,0.1965669967815453,Low Priority
317.0,11.0,0.0,600000.0,0.5,0.0,0.0939597315436241,1,Medium Priority,0.7938346716763613,Low Priority
318.0,1.0,0.0,230000.0,0.0,0.0,0.0318791946308724,0,Low Priority,-0.09849343574654243,Low Priority
319.0,4.0,2.0,490000.0,0.15,0.2222222222222222,0.0755033557046979,0,Low Priority,0.2561427487605916,Low Priority
320.0,1.0,1.0,400000.0,0.0,0.1111111111111111,0.0604026845637583,0,Low Priority,-0.01715396498661123,Low Priority
321.0,2.0,0.0,620000.0,0.05,0.0,0.0973154362416107,0,Low Priority,0.1307217823338561,Low Priority
322.0,4.0,1.0,150000.0,0.15,0.1111111111111111,0.0184563758389261,0,Low Priority,0.10738965407012677,Low Priority
323.0,1.0,0.0,270000.0,0.0,0.0,0.0385906040268456,0,Low Priority,-0.08263140658641677,Low Priority
324.0,6.0,1.0,6000000.0,0.25,0.1111111111111111,1.0,2,High Priority,2.576332286276838,High Priority
325.0,2.0,0.0,300000.0,0.05,0.0,0.0436241610738255,0,Low Priority,0.0038255490528517344,Low Priority
328.0,12.0,1.0,320000.0,0.55,0.1111111111111111,0.046979865771812,1,Medium Priority,0.7712867481540543,Low Priority
329.0,3.0,0.0,300000.0,0.1,0.0,0.0436241610738255,0,Low Priority,0.07838598282202594,Low Priority
330.0,2.0,0.0,450000.0,0.05,0.0,0.0687919463087248,0,Low Priority,0.06330815840332249,Low Priority
332.0,3.0,0.0,600000.0,0.1,0.0,0.0939597315436241,0,Low Priority,0.19735120152296745,Low Priority
333.0,2.0,1.0,450000.0,0.05,0.1111111111111111,0.0687919463087248,0,Low Priority,0.07723400523272009,Low Priority
335.0,1.0,1.0,450000.0,0.0,0.1111111111111111,0.0687919463087248,0,Low Priority,0.002673571463545854,Low Priority
336.0,16.0,1.0,790000.0,0.75,0.1111111111111111,0.1258389261744966,1,Medium Priority,1.2559073258622266,Medium Priority
337.0,11.0,0.0,270000.0,0.5,0.0,0.0385906040268456,1,Medium Priority,0.6629729311053255,Low Priority
338.0,2.0,0.0,400000.0,0.05,0.0,0.0604026845637583,0,Low Priority,0.043480621953165405,Low Priority
339.0,1.0,1.0,300000.0,0.0,0.1111111111111111,0.0436241610738255,0,Low Priority,-0.056809037886924915,Low Priority
340.0,1.0,1.0,220000.0,0.0,0.1111111111111111,0.0302013422818791,0,Low Priority,-0.08853309620717625,Low Priority
341.0,1.0,1.0,420000.0,0.0,0.1111111111111111,0.0637583892617449,0,Low Priority,-0.009222950406548386,Low Priority
343.0,2.0,0.0,420000.0,0.05,0.0,0.0637583892617449,0,Low Priority,0.05141163653322825,Low Priority
344.0,4.0,2.0,490000.0,0.15,0.2222222222222222,0.0755033557046979,0,Low Priority,0.2561427487605916,Low Priority
345.0,11.0,0.0,230000.0,0.5,0.0,0.0318791946308724,1,Medium Priority,0.6471109019451999,Low Priority
346.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
347.0,7.0,2.0,250000.0,0.3,0.2222222222222222,0.035234899328859,1,Medium Priority,0.384651875107361,Low Priority
